# Extended metadata for cities.csv (not used by C++ parser)
# Source: GeoNames cities1000 India subset (CC BY 4.0)
city,geoname_id,admin1_code,state,population,latitude,longitude
Soyibug,1430991,12,Jammu and Kashmir,104000,34.076770,74.705700
Sravana Belgola,1256428,19,Karnataka,6485,12.857370,76.488860
Sreekaryam,13353533,13,Kerala,23528,8.548840,76.917160
Sri Dungargarh,1255654,24,Rajasthan,53294,28.096170,74.008680
Sri Ganganagar,1271685,24,Rajasthan,237780,29.920090,73.874960
Sri Madhopur,1255643,24,Rajasthan,31366,27.465990,75.597360
Srigobindpur,1255652,23,Punjab,8241,31.689450,75.477510
Srikakulam,1255647,02,Andhra Pradesh,137944,18.298900,83.897510
Srikalahasti,9408449,02,Andhra Pradesh,80056,13.755140,79.701430
Srikandamangalam,11500836,13,Kerala,23681,9.659410,76.363350
Srimushnam,1255640,25,Tamil Nadu,13971,11.401180,79.403840
Srinagar_Jammu_and_Kashmir,1255634,12,Jammu and Kashmir,1206419,34.085650,74.805550
Srinagar_Uttarakhand,1255635,39,Uttarakhand,20216,30.222430,78.783410
Sringeri,1255633,19,Karnataka,4271,13.416980,75.252710
Srinivaspur,1255631,19,Karnataka,26793,13.339140,78.211750
Sriperumbudur,1255630,25,Tamil Nadu,24864,12.967630,79.941970
Sriramnagar_Andhra_Pradesh,13156766,02,Andhra Pradesh,18893,18.283290,83.534220
Sriramnagar_Telangana,1255625,40,Telangana,19550,17.266520,78.255440
Srirampur,1348562,28,West Bengal,18682,22.948490,88.019540
Srirampura,13353458,19,Karnataka,11234,12.254880,76.621520
Srirampuram,11677612,25,Tamil Nadu,10653,10.434640,77.807540
Srisailain,1255621,02,Andhra Pradesh,24142,16.072170,78.868160
Srisailam Project RFC Township,13156770,02,Andhra Pradesh,21452,16.073310,78.874120
Srivaikuntam,1255620,25,Tamil Nadu,15847,8.629310,77.912810
Srivardhan,1255619,16,Maharashtra,15279,18.045920,73.015520
Srivilliputhur,1255616,25,Tamil Nadu,75396,9.512720,77.633690
Srvanampatti,11488243,25,Tamil Nadu,32920,11.076430,77.004490
Suar,1255597,36,Uttar Pradesh,28941,29.028410,79.056540
Subulia,1255594,21,Odisha,5072,20.895860,84.169340
Suchindram,1255584,25,Tamil Nadu,13193,8.154420,77.467040
Sudna,10835962,38,Jharkhand,14552,24.052550,84.072020
Sufipind,13494594,23,Punjab,9406,31.277480,75.638830
Suhagi,10458120,35,Madhya Pradesh,14787,23.220600,79.956910
Sujangarh,1255560,24,Rajasthan,183808,27.700000,74.466670
Sujanpur,10684789,23,Punjab,28270,32.316250,75.607410
Suket,1255551,24,Rajasthan,22319,24.646090,76.041700
Sukhpar,13157108,09,Gujarat,13303,23.216300,69.609110
Sukma_Chhattisgarh,11876655,37,Chhattisgarh,13926,18.327410,81.626210
Sulebhavi,10975920,19,Karnataka,8503,15.895720,74.654940
Suleswaranpatti,11563145,25,Tamil Nadu,20104,10.638850,77.008430
Sulibele,1255505,19,Karnataka,9587,13.184400,77.801410
Sullya,1255482,19,Karnataka,19958,12.561000,75.387410
Sultan Pur,13156992,07,Delhi,15160,28.495550,77.161120
Sultan Pur Majra,13157013,07,Delhi,181554,28.689660,77.076480
Sultanganj,8439888,34,Bihar,52892,25.238310,86.735590
Sultanpur_Madhya_Pradesh,1255493,35,Madhya Pradesh,10268,23.138120,77.934040
Sultanpur_Maharashtra,1255496,16,Maharashtra,8688,20.086950,76.518700
Sultanpur_Punjab,1255488,23,Punjab,16877,31.214680,75.196020
Sultanpur_Uttar_Pradesh,1255491,36,Uttar Pradesh,110368,26.257880,82.072690
Sultanpur_Uttarakhand,1255489,39,Uttarakhand,8518,29.755340,78.110340
Sulur,1255484,25,Tamil Nadu,27909,11.024270,77.125650
Suluru,1255483,02,Andhra Pradesh,38065,13.700000,80.016670
Sumbal,1255478,12,Jammu and Kashmir,15041,34.230720,74.647200
Sumerganj Mandi,13494600,24,Rajasthan,3633,25.729850,76.231430
Sumerpur,8224613,24,Rajasthan,39132,25.154300,73.081570
Sunabeda,8741024,21,Odisha,50394,18.728400,82.829320
Sunakhala,1255450,21,Odisha,6299,20.166770,85.332270
Sunam,1255449,23,Punjab,69069,30.128830,75.799430
Sunari Kalan,9909450,10,Haryana,7506,28.861030,76.568980
Sundakkampalaiyam,11563175,25,Tamil Nadu,16459,10.566590,77.213540
Sundarapandiyam,11654695,25,Tamil Nadu,8513,9.612670,77.673780
Sundarapandiyanpattanam,1255440,25,Tamil Nadu,4007,9.841390,79.098360
Sundarnagar,1255434,11,Himachal Pradesh,25338,31.535230,76.905000
Sunderbani,13353360,12,Jammu and Kashmir,6930,33.048410,74.488460
Sundergarh,1255437,21,Odisha,45036,22.116670,84.033330
Sunel,1255425,24,Rajasthan,15840,24.370650,75.957080
Suntikoppa,1255405,19,Karnataka,3500,12.455940,75.829700
Supaul,1255396,34,Bihar,65437,26.115270,86.595090
Surajgarh,1255383,24,Rajasthan,21666,28.310050,75.732710
Surajpur,1255381,37,Chhattisgarh,20189,23.213470,82.868360
Surampatti,11522317,25,Tamil Nadu,41782,11.327260,77.711220
Surandai,1255372,25,Tamil Nadu,35272,8.975740,77.419230
Suranga,13353390,38,Jharkhand,4708,23.709020,86.460740
Surankot,10593072,12,Jammu and Kashmir,6743,33.627080,74.274680
Surappattu,1466005,25,Tamil Nadu,10444,13.142940,80.191750
Surat,1255364,09,Gujarat,4591246,21.195940,72.830230
Suratgarh,1255361,24,Rajasthan,70536,29.321500,73.899790
Surendranagar,1255349,09,Gujarat,179628,22.727060,71.648560
Surgana,1255348,16,Maharashtra,6566,20.559560,73.637470
Surianwan,1255346,36,Uttar Pradesh,19157,25.463870,82.419220
Suriapet,1255344,40,Telangana,111729,17.140540,79.620450
Survepalle Bit ? II,13645558,02,Andhra Pradesh,5129,14.269370,79.961970
Suryampalaiyam,11522212,25,Tamil Nadu,28585,11.404450,77.712270
Suryaraopeta,13156772,02,Andhra Pradesh,24112,16.999610,82.223170
Susner,1255301,35,Madhya Pradesh,16432,23.946670,76.088250
Suthalia,1255297,35,Madhya Pradesh,10596,23.995520,77.139530
Sutrapara,1255290,09,Gujarat,26132,20.843520,70.483180
Suvani,13494577,21,Odisha,7993,19.133360,84.715120
Suwasra,1255285,35,Madhya Pradesh,13304,24.069830,75.652320
Swamimalai,1255283,25,Tamil Nadu,7289,10.957470,79.329310
Swroop Nagar,13353602,35,Madhya Pradesh,7258,23.827340,77.941930
Tada Khandrika,13156749,02,Andhra Pradesh,6123,13.588550,80.033680
Tadali,1255271,16,Maharashtra,4942,20.030610,79.194430
Tadepalle,1255265,02,Andhra Pradesh,64149,16.483330,80.600000
Tadepalligudem,1255264,02,Andhra Pradesh,112655,16.814670,81.527170
