# City coordinates for WeatherIQ (GeoNames cities1000, India)
# Format: city,latitude,longitude
# Source: https://download.geonames.org/export/dump/cities1000.zip (CC BY 4.0)
city,latitude,longitude
Barkot,30.808610,78.205960
Barkuhi,22.190110,78.704720
Barla,26.429890,74.727070
Barmer,25.745720,71.392110
Barmhan Kalan,23.034600,79.020920
Barnagar,23.048900,75.378040
Barnala,30.374510,75.548700
Barod,23.788910,75.811590
Baroda,25.500000,76.650000
Barora,23.791990,86.228740
Barpali,21.190050,83.587210
Barpathar,26.287090,93.888440
Barpeta,26.322930,91.006320
Barpeta Road,26.502840,90.969370
Barsana,27.648020,77.376400
Barshi,18.234540,75.692750
Barsur,19.135560,81.383940
Barua Bari Gaon,26.117990,91.965640
Baruipur,22.365440,88.432500
Baruni,25.475090,85.968130
Baruwali,30.537850,74.653810
Barwadih,23.847800,84.110490
Barwah,22.253940,76.038530
Barwala_Delhi,28.761290,77.062780
Barwala_Gujarat,22.219830,72.067550
Barwala_Haryana,29.367470,75.908090
Barwani,22.032320,74.899820
Basar,27.990080,94.694510
Basavakalyan,17.874450,76.949720
Basavana Bagevadi,16.572780,75.972520
Bashettihalli,13.261580,77.553790
Bashohli,32.499720,75.815600
Basi_Punjab,30.588130,76.844980
Basi_Rajasthan,26.831500,76.048560
Basirhat City,22.661420,88.854770
Basmat,19.328720,77.157460
Basna,21.278850,82.826700
Basni,27.172320,73.645190
Basoda,23.851530,77.936520
Baspalli,17.539090,78.363550
Bastar,19.203060,81.929590
Basti,26.788170,82.716170
Basudebpur,21.119740,86.728960
Basugaon,26.467420,90.419510
Basukinath,24.394460,87.086430
Baswa,27.149550,76.583450
Bat,24.855610,83.071570
Batala,31.809210,75.202940
Batarashi,24.869360,92.334940
Bathinda,30.207470,74.938930
Batoti,33.118260,75.308890
Baua Kalan,23.812060,86.364660
Baud,20.837730,84.326180
Bawal,28.071840,76.583120
Bawana,28.798200,77.034310
Bawani Khera,28.949190,76.031080
Bay,27.313940,75.295940
Bayad,23.223400,73.214910
Bayana,26.907910,77.289850
Bayanpur,28.963300,77.008110
Bazpur,29.152990,79.108140
Beawar,26.101190,74.320280
Becharaji,23.499380,72.044690
Bed,22.431030,69.899830
Bedi,22.501430,70.043630
Bedla,24.634470,73.694610
Beed,18.989210,75.756340
Beerwah,34.012380,74.595630
Beg,27.433010,79.440410
Begamganj,23.599170,78.340640
Begampur_Delhi,28.726550,77.066890
Begampur_West_Bengal,22.730700,88.257640
Begowal,31.611520,75.521350
Begun,24.983330,75.000000
Begusarai,25.418530,86.133890
Behat,30.171800,77.613900
Behjoga,31.938490,75.814930
Behlana,30.678130,76.800600
Behror,27.888320,76.281080
Bekobar,24.419170,85.588800
Bela_Bihar,25.557070,84.430780
Bela_Maharashtra,21.155720,79.617740
Bela_Uttar_Pradesh,25.920580,81.996290
Belagachhia,20.423300,85.852280
Belagavi,15.852120,74.504470
Belaguntha,19.882490,84.638010
Beldanga,23.934280,88.260180
Beliator,23.320520,87.220810
Bellampalli,19.055770,79.493000
Belluru,12.981400,76.733080
Belma,12.813830,74.905420
Belonia,23.251780,91.454070
Belpahar,21.821800,83.845800
Belsand,26.443650,85.400760
Belsor,26.381820,91.351580
Beltangadi_Karnataka,12.979500,75.269950
